48;BOGOTA D.C.;CANDELARIA;BOGOTA._D.C.;Carlos Fernando Asprilla Lara;87;PREFERENTE;OTRO
49;BOGOTA D.C.;CHAPINERO;BOGOTA._D.C.;Juan Felipe Namen Pulgarin;81;PREFERENTE;CANTANTE
50;CASANARE;NO APLICA;NUNCHIA;Gabriel Guillermo Hincapie Rojas;3;PREFERENTE;ACTOR
51;CESAR;NO APLICA;VALLEDUPAR;Alvaro Jose Molina Rodriguez;8;PREFERENTE;OTRO
52;CESAR;NO APLICA;VALLEDUPAR;Alcedis Rafael Ortiz Macias;18;PREFERENTE;ACTOR
53;META;NO APLICA;NO APLICA;Augusto Alejandro Aponte Pinzon;54;PREFERENTE;CANTANTE
54;BOGOTA D.C.;USAQUEN;BOGOTA._D.C.;Sandra Milena Cantillo Vasquez;82;PREFERENTE;CANTANTE
55;TOLIMA;NO APLICA;COYAIMA;Genis Macana Capera;5;PREFERENTE;CANTANTE
56;ATLANTICO;NO APLICA;SANTA_LUCIA;Derfilia Paez Martinez;6;PREFERENTE;CANTANTE
57;CESAR;NO APLICA;VALLEDUPAR;Aristides De Jesus Hernandez Gonzalez;9;PREFERENTE;ACTOR
58;CESAR;NO APLICA;VALLEDUPAR;Maria Angelica Villegas Yaguna;16;PREFERENTE;POLITICO
59;CESAR;NO APLICA;VALLEDUPAR;Nidia Elvira Vides Rodriguez;18;PREFERENTE;POLITICO
60;ARAUCA;NO APLICA;CRAVO_NORTE;Ricardo Rodriguez Ramos;5;PREFERENTE;POLITICO
61;BOGOTA D.C.;SANTAFE;BOGOTA._D.C.;Yarlyn Astrid Romero Gomez;84;PREFERENTE;POLITICO
62;QUINDIO;NO APLICA;ARMENIA;Jorge Emerson Bonilla Garcia;8;PREFERENTE;CANTANTE
63;QUINDIO;NO APLICA;ARMENIA;Juan Carlos Garcia Gaviria;9;PREFERENTE;POLITICO
64;VAUPES;NO APLICA;TARAIRA;Atalo David Mendoza Diaz;3;PREFERENTE;POLITICO
65;BOGOTA D.C.;SUMAPAZ;BOGOTA._D.C.;German Morales Rey;82;PREFERENTE;CANTANTE
66;META;NO APLICA;VILLAVICENCIO;Luis Bayardo Pineda Diaz;11;PREFERENTE;POLITICO
67;META;NO APLICA;VILLAVICENCIO;Jose Gregorio Vergara Ruiz;13;PREFERENTE;ACTOR
68;CUNDINAMARCA;NO APLICA;CAJICA;Jose De Jesus Velandia Velandia;2;PREFERENTE;POLITICO
69;BOLIVAR;NO APLICA;CARTAGENA;William Garcia Tirado;0;NO APLICA;ACTOR
70;BOLIVAR;NO APLICA;MARGARITA;German Montes Pedrozo;0;NO APLICA;POLITICO
71;BOLIVAR;NO APLICA;MARGARITA;Carlos Lince Lerma;5;PREFERENTE;CANTANTE
72;BOYACA;NO APLICA;GUATEQUE;Cesar Augusto Contreras Nino;0;NO APLICA;ACTOR
73;SANTANDER;NO APLICA;BOLIVAR;Horacio Garcia Medina;4;PREFERENTE;POLITICO
74;BOLIVAR;NO APLICA;CLEMENCIA;Moises Ripoll Manjarrez;1;PREFERENTE;CANTANTE
75;ATLANTICO;NO APLICA;NO APLICA;Juan Alberto Garcia Estrada;0;NO APLICA;CANTANTE
76;SUCRE;NO APLICA;TOLU;Irene Esther Salcedo Malarriaga;10;PREFERENTE;POLITICO
77;CALDAS;NO APLICA;PALESTINA;Jose Alvaro Obando Tabora;1;PREFERENTE;POLITICO
78;META;NO APLICA;GRANADA;Lida Estrada Mojica;2;PREFERENTE;CANTANTE
79;META;NO APLICA;GRANADA;Luz Mary Carmona Rodas;3;PREFERENTE;ACTOR
80;SUCRE;NO APLICA;SAN_BENITO_ABAD;Irene Patricia Tovio Martinez;9;PREFERENTE;POLITICO
81;CUNDINAMARCA;NO APLICA;GIRARDOT;Libia Rocio Pinzon Bautista;11;PREFERENTE;OTRO
82;META;NO APLICA;ACACIAS;Mario Gilberto Absil Herrera;2;PREFERENTE;POLITICO
83;META;NO APLICA;ACACIAS;Angel Gonzalo Saavedra;8;PREFERENTE;CANTANTE
84;META;NO APLICA;ACACIAS;Rubiela Figueroa Valencia;15;PREFERENTE;POLITICO
85;BOLIVAR;NO APLICA;ARENAL;Ines Florez Rodriguez;6;PREFERENTE;CANTANTE
86;VALLE;NO APLICA;NO APLICA;Ruben Dario Cardona Salamanca;54;PREFERENTE;POLITICO
87;VALLE;NO APLICA;NO APLICA;Isabel Chasoy Chindoy;59;PREFERENTE;POLITICO
88;META;NO APLICA;GUAMAL;Jose Guillermo Mora Moreno;6;PREFERENTE;ACTOR
89;ATLANTICO;NO APLICA;REPELON;Enrique Antonio Escobar Ruiz;0;NO APLICA;OTRO
90;TOLIMA;NO APLICA;MARIQUITA;Jorge Andres Malagon Campuzano;3;PREFERENTE;ACTOR
91;TOLIMA;NO APLICA;MARIQUITA;Luis Felipe Lozano Amaya;5;PREFERENTE;POLITICO
92;ANTIOQUIA;NO APLICA;CAREPA;Deysi Andrea Arcia Salazar;9;PREFERENTE;POLITICO
93;ANTIOQUIA;NO APLICA;CAREPA;Oscar Enrique Espitia Urango;10;PREFERENTE;OTRO
94;ANTIOQUIA;NO APLICA;CAREPA;Elfrin Antonio Escobar Moreno;11;PREFERENTE;CANTANTE
95;ATLANTICO;NO APLICA;REPELON;Luis Eduardo Ortega Escobar;1;PREFERENTE;OTRO
96;QUINDIO;NO APLICA;NO APLICA;Jair Morales Jaramillo;53;PREFERENTE;POLITICO
97;NARInO;NO APLICA;NO APLICA;Adilson Yair Prado Lara;64;PREFERENTE;CANTANTE
98;META;NO APLICA;LEJANIAS;Angy Tatiana Arce Redondo;3;PREFERENTE;CANTANTE
99;META;NO APLICA;LEJANIAS;Derlin Lider Gomez;9;PREFERENTE;CANTANTE
100;CUNDINAMARCA;NO APLICA;CAPARRAPI;Gonzalo Ramirez Gaitan;0;NO APLICA;POLITICO
101;CUNDINAMARCA;NO APLICA;GACHANCIPA;Pedro Antonio Palacios Fonseca;11;PREFERENTE;POLITICO
102;BOYACA;NO APLICA;NO APLICA;Carlos Andres Amaya Rodriguez;0;NO APLICA;POLITICO
103;NARInO;NO APLICA;PASTO;Gustavo Alonso Nunez Guerrero;0;NO APLICA;POLITICO
104;BOLIVAR;NO APLICA;REGIDOR;Jadimir Gutierrez Franco;0;NO APLICA;POLITICO
105;TOLIMA;NO APLICA;MARIQUITA;Miguel Antonio Camacho Ariza;11;PREFERENTE;POLITICO
106;BOLIVAR;NO APLICA;REGIDOR;Joanis Morato Escandon;7;PREFERENTE;POLITICO
107;BOLIVAR;NO APLICA;REGIDOR;Merida Duran Munoz;9;PREFERENTE;CANTANTE
108;ANTIOQUIA;NO APLICA;SAN_PEDRO;Marta Nelly Cardona Tobon;0;NO PREFERENTE;POLITICO
109;ANTIOQUIA;NO APLICA;SAN_PEDRO;Martha Cecilia Tamayo Tamayo;0;NO PREFERENTE;ACTOR
110;ANTIOQUIA;NO APLICA;SAN_PEDRO;Anderson Perez Lujan;0;NO PREFERENTE;POLITICO
111;HUILA;NO APLICA;NEIVA;Ana Yibe Figueroa Trujillo;14;PREFERENTE;ACTOR
112;HUILA;NO APLICA;NEIVA;Juan Camilo Munoz Losada;18;PREFERENTE;OTRO
113;HUILA;NO APLICA;NEIVA;Eduardo Herrera Oyola;19;PREFERENTE;OTRO
114;VALLE;NO APLICA;RIOFRIO;Rubian Lopez Santa;8;PREFERENTE;POLITICO
115;BOYACA;NO APLICA;SOGAMOSO;Carlos Aarturo Lizarazo Goyeneche;3;PREFERENTE;OTRO
116;BOYACA;NO APLICA;SOGAMOSO;Alcira Macias Hernandez;8;PREFERENTE;CANTANTE
117;BOYACA;NO APLICA;SOGAMOSO;Gloria Patricia Torres Lopez;12;PREFERENTE;POLITICO
118;BOYACA;NO APLICA;SOGAMOSO;Hector Manuel Barrera Garacia;17;PREFERENTE;POLITICO
119;ANTIOQUIA;NO APLICA;MEDELLIN;Nelson Martinez Escobar;3;PREFERENTE;POLITICO
120;ANTIOQUIA;NO APLICA;MEDELLIN;Juan Jose Roldan David;11;PREFERENTE;OTRO
121;ANTIOQUIA;NO APLICA;MEDELLIN;Martin Antonio Benavides Vasquez;16;PREFERENTE;CANTANTE
122;CORDOBA;NO APLICA;PUERTO_ESCONDIDO;Jhonny Alberto Narvaez Mercado;12;PREFERENTE;POLITICO
123;VALLE;NO APLICA;BUENAVENTURA;Leonardo Mosquera Lozano;11;PREFERENTE;ACTOR
124;VALLE;NO APLICA;BUENAVENTURA;Pedro Pablo Cortes Quinonez;12;PREFERENTE;POLITICO
125;VALLE;NO APLICA;BUENAVENTURA;Kely Jhoana Hurtado Granja;17;PREFERENTE;ACTOR
126;VALLE;NO APLICA;BUENAVENTURA;Filiberto Montano Garcia;18;PREFERENTE;ACTOR
127;ANTIOQUIA;NO APLICA;PUERTO_TRIUNFO;Javier Aristides Guerra Castillo;0;NO APLICA;CANTANTE
128;CASANARE;NO APLICA;PAZ_DE_ARIPORO_(MORENO);Andrea Milena Espy Carvajal;1;PREFERENTE;CANTANTE
129;CASANARE;NO APLICA;PAZ_DE_ARIPORO_(MORENO);Nilson Ramirez Chavez;8;PREFERENTE;POLITICO
130;BOLIVAR;NO APLICA;PINILLOS;Marcos Antonio Perez Chavez;0;NO APLICA;POLITICO
131;CUNDINAMARCA;NO APLICA;COTA;Hernan Isaias Ibarra Monsalve;2;PREFERENTE;OTRO
